id_alojamiento,name,category,rating,city,latitude,longitude,characteristics,check_in,check_out,price_discounted,price_original,price_qualifier,cant_resultados,fecha_scrapping,fecha_cambio_bna,cambio_bna
602017890042571520,Suite con cocina e increíble vista a los cerros,entire_home,"5,0 (30)",La Villa,-40.774208068847656,-71.65174865722656,"['2 camas', '1 dormitorio', '1 baño', '1 cama queen', '1 sofá cama', 'Estacionamiento gratis', 'Wifi', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-06,,$70 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
4635954,"ESTUDIO A 20 METROS DEL CIVICO CENTER, VISTA AL LAGO.",entire_home,"4,68 (175)",San Carlos de Bariloche,-41.13392,-71.31028,"['1 cama', 'Monoambiente', '1 ,5 baños', 'Wifi', 'Calificado con 4,6 de 5 en limpieza']",2023-08-03,2023-08-08,,$96 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
4635954,"ESTUDIO A 20 METROS DEL CIVICO CENTER, VISTA AL LAGO.",entire_home,"4,68 (175)",San Carlos de Bariloche,-41.13392,-71.31028,"['1 cama', 'Monoambiente', '1 ,5 baños', 'Wifi', 'Calificado con 4,6 de 5 en limpieza']",2023-08-03,2023-08-08,,$96 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
18914527,Apartamento Snow & Pine,entire_home,"4,99 (124)",San Carlos de Bariloche,-41.14004,-71.31386,"['1 cama', '1 dormitorio', '1 baño', '1 cama doble', 'Wifi']",2023-10-14,2023-10-19,,$60 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
894333521789845237,Cabaña a Estrenar,entire_home,Nuevo,San Martin de los Andes,-40.12741,-71.21691,"['4 camas', '3 dormitorios', '2,5 baños', '2 camas queen', '2 camas de una plaza', 'Estacionamiento gratis', 'Wifi']",2023-07-01,2023-07-06,$160 USD,$200 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
10894237,"""Los Amancays ""
Cabaña de montaña",entire_home,"4,86 (52)","Villa La Angostura, Neuquén Argentina",-40.75297,-71.65557,"['7 camas', '3 dormitorios', '1 ,5 baños', '2 camas dobles', '4 camas de una plaza', 'más', 'Estacionamiento gratis', 'Wifi', 'Calificado con 4,8 de 5 en limpieza']",2023-07-02,2023-07-07,,$100 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
755921214950226681,Casita vegetariana  en la naturaleza,entire_home,"4,9 (31)",San Carlos de Bariloche,-41.04700547575028,-71.5154217928648,"['1 cama', '1 dormitorio', '1 baño', 'Wifi', 'Calificado con 4,6 de 5 en limpieza']",2023-07-01,2023-07-06,$25 USD,$29 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
29213648,Estudio con vista al lago en el centro deBariloche,entire_home,"4,49 (87)",San Carlos de Bariloche,-41.13276,-71.31559,"['1 cama', 'Monoambiente', '1 baño', '1 sofá cama', 'Wifi', 'Calificado con 4,7 de 5 en limpieza']",2023-08-28,2023-09-02,,$74 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
557919185259863790,"Alojamiento ideal, en un lugar ideal.",entire_home,"4,89 (28)",San Martin de los Andes,-40.15902,-71.35928,"['3 camas', '1 dormitorio', '1 baño', '1 cama queen', '1 cama de una plaza', 'más', 'Estacionamiento gratis', 'Wifi']",2023-08-05,2023-08-10,,$90 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
47921978,AMAREMIO - HERMOSA CASA PARA PAREJAS,entire_home,"4,75 (20)",Las grutas,-40.86975,-65.12661,"['2 camas', 'Monoambiente', '1 ,5 baños', '1 cama doble', '1 cama de una plaza', 'Calificado con 5 de 5 en limpieza']",2023-07-01,2023-07-06,,$80 USD,noche,1000,2023-06-24,2023-05-01,239.9193548387097
